,Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location
10,45281175,2020-01-01 00:01:37,2020-01-01 01:54:21,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10468.0,2625 GRAND CONCOURSE,GRAND CONCOURSE,EAST  192 STREET,EAST  193 STREET,EAST  192 STREET,EAST  193 STREET,,BRONX,GRAND CONCOURSE,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,01/01/2020 01:54:23 AM,07 BRONX,2031680049.0,BRONX,1013268.0,254494.0,MOBILE,Unspecified,BRONX,,,,,,,,40.86515417644589,-73.89508805180566,"(40.865154176445884, -73.89508805180566)"
11,45278238,2020-01-01 00:01:46,2020-01-01 05:37:46,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,,10025.0,865 COLUMBUS AVENUE,COLUMBUS AVENUE,WEST  100 STREET,WEST  103 STREET,WEST  100 STREET,WEST  103 STREET,,NEW YORK,COLUMBUS AVENUE,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,01/01/2020 05:37:48 AM,07 MANHATTAN,1018360001.0,MANHATTAN,994065.0,229622.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.79692992181987,-73.96455113216999,"(40.79692992181987, -73.96455113216999)"
12,45280733,2020-01-01 00:01:56,2020-01-01 07:48:16,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11103.0,25-88 46 STREET,46 STREET,25 AVENUE,28 AVENUE,25 AVENUE,28 AVENUE,,ASTORIA,46 STREET,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,01/01/2020 07:48:17 AM,01 QUEENS,4007160079.0,QUEENS,1009934.0,218099.0,MOBILE,Unspecified,QUEENS,,,,,,,,40.76527048266495,-73.90728109315765,"(40.76527048266495, -73.90728109315764)"
13,45281554,2020-01-01 00:03:23,2020-01-01 05:24:53,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11222.0,211 INDIA STREET,INDIA STREET,MCGUINNESS BOULEVARD,PROVOST STREET,MCGUINNESS BOULEVARD,PROVOST STREET,,BROOKLYN,INDIA STREET,,Closed,,The Police Department responded to the complaint but officers were unable to gain entry into the premises.,01/01/2020 05:25:00 AM,01 BROOKLYN,3025340052.0,BROOKLYN,997802.0,206210.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.73266510004759,-73.95110140096469,"(40.73266510004759, -73.95110140096469)"
14,45283785,2020-01-01 00:03:34,2020-01-01 00:03:35,EDC,Economic Development Corporation,Noise - Helicopter,Other,Above Address,10016.0,513 2 AVENUE,2 AVENUE,EAST   28 STREET,EAST   29 STREET,EAST   28 STREET,EAST   29 STREET,,NEW YORK,2 AVENUE,,Closed,,,,06 MANHATTAN,1009090031.0,MANHATTAN,990250.0,209393.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.74140999463676,-73.97834783864802,"(40.74140999463676, -73.97834783864802)"
15,45279341,2020-01-01 00:03:45,2020-01-01 02:02:26,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11206.0,894 BROADWAY,BROADWAY,BELVIDERE STREET,ARION PLACE,BELVIDERE STREET,ARION PLACE,,BROOKLYN,BROADWAY,,Closed,,The Police Department responded to the complaint and determined that police action was not necessary.,01/01/2020 02:02:28 AM,03 BROOKLYN,3015820018.0,BROOKLYN,1001697.0,193584.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.69800293380301,-73.93708011114346,"(40.69800293380301, -73.93708011114347)"
16,45278281,2020-01-01 00:04:16,2020-01-01 06:49:27,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11221.0,40 STARR STREET,STARR STREET,CENTRAL AVENUE,WILSON AVENUE,CENTRAL AVENUE,WILSON AVENUE,,BROOKLYN,STARR STREET,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,01/01/2020 06:49:32 AM,04 BROOKLYN,3031960026.0,BROOKLYN,1004420.0,194639.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.70089287407959,-73.92725688032714,"(40.700892874079585, -73.92725688032714)"
17,45288075,2020-01-01 00:04:45,2020-01-03 02:12:58,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,11238.0,420 CLINTON AVENUE,CLINTON AVENUE,,,,,ADDRESS,BROOKLYN,,,Closed,,"The Department of Housing Preservation and Development responded to a complaint of no heat or hot water and was advised by a tenant in the building that heat and hot water had been restored. If the condition still exists, please file a new complaint.",01/03/2020 02:12:58 AM,02 BROOKLYN,3019600022.0,BROOKLYN,993310.0,189077.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.68564482086869,-73.96733257810195,"(40.68564482086869, -73.96733257810193)"
18,45279489,2020-01-01 00:04:47,2020-01-01 04:22:13,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11223.0,1906 WEST   13 STREET,WEST   13 STREET,AVENUE S,AVENUE T,AVENUE S,AVENUE T,,BROOKLYN,WEST   13 STREET,,Closed,,The Police Department responded to the complaint and determined that police action was not necessary.,01/01/2020 04:22:15 AM,11 BROOKLYN,3070750008.0,BROOKLYN,988451.0,157861.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.59996725822215,-73.98487199397105,"(40.599967258222144, -73.98487199397107)"
19,45278654,2020-01-01 00:05:46,2020-01-02 10:00:00,DOT,Department of Transportation,Street Condition,Pothole,,11219.0,1236 49 STREET,49 STREET,12 AVENUE,13 AVENUE,,,ADDRESS,BROOKLYN,,,Closed,,The Department of Transportation inspected this complaint and repaired the problem.,01/02/2020 10:00:00 AM,12 BROOKLYN,3056410019.0,BROOKLYN,986074.0,170918.0,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.63580682033814,-73.99342815941051,"(40.63580682033814, -73.99342815941051)"
20,45280025,2020-01-01 00:06:50,2020-01-01 00:06:50,DOHMH,Department of Health and Mental Hygiene,Rodent,Condition Attracting Rodents,3+ Family Apt. Building,10468.0,2625 GRAND CONCOURSE,GRAND CONCOURSE,EAST 192 STREET,EAST 193 STREET,EAST  192 STREET,EAST  193 STREET,ADDRESS,BRONX,GRAND CONCOURSE,,Closed,,This service request was closed because the Department of Health and Mental Hygiene received an earlier complaint about the same location.  You can find inspection results for this address by going to the online Rat Portal at www.nyc.gov/rats.,01/01/2020 12:06:50 AM,07 BRONX,2031680049.0,BRONX,1013268.0,254494.0,MOBILE,Unspecified,BRONX,,,,,,,,40.86515417644589,-73.89508805180566,"(40.865154176445884, -73.89508805180566)"
21,45281599,2020-01-01 00:07:00,2020-01-01 05:18:38,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10465.0,274 BUTTRICK AVENUE,BUTTRICK AVENUE,HARDING AVENUE,MILES AVENUE,HARDING AVENUE,MILES AVENUE,,BRONX,BUTTRICK AVENUE,,Closed,,The Police Department responded to the complaint and determined that police action was not necessary.,01/01/2020 05:18:40 AM,10 BRONX,2055977501.0,BRONX,1032823.0,236367.0,MOBILE,Unspecified,BRONX,,,,,,,,40.81531500112997,-73.82452015975329,"(40.81531500112997, -73.82452015975328)"
22,45283821,2020-01-01 00:07:33,2020-01-01 01:23:02,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10040.0,45 FAIRVIEW AVENUE,FAIRVIEW AVENUE,BEND,WADSWORTH TERRACE,BEND,WADSWORTH TERRACE,,NEW YORK,FAIRVIEW AVENUE,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,01/01/2020 01:23:04 AM,12 MANHATTAN,1021700520.0,MANHATTAN,1003771.0,251664.0,MOBILE,Unspecified,MANHATTAN,,,,,,,,40.85741279181908,-73.92943181839,"(40.85741279181908, -73.92943181839)"
23,45279022,2020-01-01 00:08:14,2020-01-01 04:16:12,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11228.0,319 BAY   11 STREET,BAY   11 STREET,CROPSEY AVENUE,INDEPENDENCE AVENUE,CROPSEY AVENUE,INDEPENDENCE AVENUE,,BROOKLYN,BAY   11 STREET,,Closed,,The Police Department responded to the complaint and determined that police action was not necessary.,01/01/2020 04:16:16 AM,11 BROOKLYN,3064600168.0,BROOKLYN,980329.0,159578.0,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.604680202481525,-74.01412070908391,"(40.60468020248152, -74.01412070908391)"
24,45280105,2020-01-01 00:08:23,2020-01-01 01:25:20,NYPD,New York City Police Department,Illegal Fireworks,,Residential Building/House,10040.0,45 SICKLES STREET,SICKLES STREET,NAGLE AVENUE,SHERMAN AVENUE,NAGLE AVENUE,SHERMAN AVENUE,,NEW YORK,SICKLES STREET,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,01/01/2020 01:25:24 AM,12 MANHATTAN,1021740154.0,MANHATTAN,1004206.0,253147.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.86148220735698,-73.92785488395077,"(40.86148220735698, -73.92785488395077)"
25,45280305,2020-01-01 00:09:22,2020-01-01 00:15:24,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10472.0,1246 WHEELER AVENUE,WHEELER AVENUE,WESTCHESTER AVENUE,EAST  172 STREET,WESTCHESTER AVENUE,EAST  172 STREET,,BRONX,WHEELER AVENUE,,Closed,,The Police Department reviewed your complaint and provided additional information below.,01/01/2020 12:15:26 AM,09 BRONX,2037720079.0,BRONX,1017354.0,241591.0,PHONE,Unspecified,BRONX,,,,,,,,40.82972489971614,-73.88037921012027,"(40.82972489971614, -73.88037921012027)"
26,45279616,2020-01-01 00:09:27,2020-01-01 09:57:22,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11373.0,52-09 SEABURY STREET,SEABURY STREET,GRAND AVENUE,53 AVENUE,GRAND AVENUE,53 AVENUE,,ELMHURST,SEABURY STREET,,Closed,,The Police Department responded and upon arrival those responsible for the condition were gone.,01/01/2020 09:57:25 AM,04 QUEENS,4028510010.0,QUEENS,1017905.0,207507.0,MOBILE,Unspecified,QUEENS,,,,,,,,40.73617139548209,-73.87855892916194,"(40.73617139548209, -73.87855892916194)"
27,45282759,2020-01-01 00:09:30,2020-01-01 07:47:43,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11103.0,25-88 46 STREET,46 STREET,25 AVENUE,28 AVENUE,25 AVENUE,28 AVENUE,,ASTORIA,46 STREET,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,01/01/2020 07:47:47 AM,01 QUEENS,4007160079.0,QUEENS,1009934.0,218099.0,MOBILE,Unspecified,QUEENS,,,,,,,,40.76527048266495,-73.90728109315765,"(40.76527048266495, -73.90728109315764)"
28,45285260,2020-01-01 00:09:39,2020-01-06 17:06:32,HPD,Department of Housing Preservation and Development,PLUMBING,WATER SUPPLY,RESIDENTIAL BUILDING,10463.0,99 MARBLE HILL AVENUE,MARBLE HILL AVENUE,,,,,ADDRESS,NEW YORK,,,Closed,,"The Department of Housing Preservation and Development contacted an occupant of the apartment and verified that the following conditions were corrected. The complaint has been closed. If the condition still exists, please file a new complaint.",01/06/2020 05:06:32 PM,08 BRONX,1022150326.0,MANHATTAN,1009347.0,258827.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.8770589469279,-73.90924783110853,"(40.877058946927896, -73.90924783110853)"
29,45289521,2020-01-01 00:09:42,2020-01-02 06:16:46,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,APARTMENT ONLY,RESIDENTIAL BUILDING,10031.0,611 WEST  148 STREET,WEST  148 STREET,,,,,ADDRESS,NEW YORK,,,Closed,,The complaint you filed is a duplicate of a condition already reported by another tenant for a building-wide condition. The original complaint is still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection of your unit if the original complainant is not available for verification.,01/02/2020 06:16:46 AM,09 MANHATTAN,1020950023.0,MANHATTAN,998139.0,241193.0,MOBILE,Unspecified,MANHATTAN,,,,,,,,40.82868362208559,-73.94981311246337,"(40.82868362208559, -73.94981311246337)"
30,45280916,2020-01-01 00:09:45,2020-01-01 13:59:39,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,,10460.0,1826 MARMION AVENUE,MARMION AVENUE,EAST  175 STREET,EAST  176 STREET,EAST  175 STREET,EAST  176 STREET,,BRONX,MARMION AVENUE,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,01/01/2020 01:59:40 PM,06 BRONX,2029580007.0,BRONX,1014936.0,245664.0,PHONE,Unspecified,BRONX,,,,,,,,40.840912830766094,-73.8890979725774,"(40.840912830766094, -73.8890979725774)"
31,45280753,2020-01-01 00:09:51,2020-01-01 03:08:18,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11223.0,2695 SHELL ROAD,SHELL ROAD,DANK COURT,AVENUE Z,DANK COURT,AVENUE Z,,BROOKLYN,SHELL ROAD,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,01/01/2020 03:08:21 AM,13 BROOKLYN,3072127501.0,BROOKLYN,991357.0,152915.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.58638962807592,-73.97441254920983,"(40.58638962807592, -73.97441254920983)"
32,45280049,2020-01-01 00:09:59,2020-01-01 06:40:57,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11217.0,484 STATE STREET,STATE STREET,NEVINS STREET,3 AVENUE,NEVINS STREET,3 AVENUE,,BROOKLYN,STATE STREET,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,01/01/2020 06:40:59 AM,02 BROOKLYN,3001790017.0,BROOKLYN,989475.0,189312.0,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.68629293677919,-73.98116016161326,"(40.68629293677919, -73.98116016161326)"
33,45279913,2020-01-01 00:10:04,2020-01-01 05:07:46,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10012.0,50 PRINCE STREET,PRINCE STREET,MULBERRY STREET,LAFAYETTE STREET,MULBERRY STREET,LAFAYETTE STREET,,NEW YORK,PRINCE STREET,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,01/01/2020 05:07:54 AM,02 MANHATTAN,1004950022.0,MANHATTAN,985377.0,202849.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.7234502849992,-73.99593409840375,"(40.7234502849992, -73.99593409840375)"
34,45278193,2020-01-01 00:10:07,2020-01-01 03:53:41,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10002.0,82 RUTGERS SLIP,RUTGERS SLIP,CHERRY STREET,SOUTH STREET,CHERRY STREET,SOUTH STREET,,NEW YORK,RUTGERS SLIP,,Closed,,The Police Department responded to the complaint and determined that police action was not necessary.,01/01/2020 03:53:48 AM,03 MANHATTAN,1002480015.0,MANHATTAN,987060.0,198164.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.71059070899555,-73.98986425967938,"(40.710590708995554, -73.98986425967938)"
35,45279598,2020-01-01 00:10:20,2020-01-01 00:10:22,EDC,Economic Development Corporation,Noise - Helicopter,Other,Above Address,10016.0,262 EAST   28 STREET,EAST   28 STREET,3 AVENUE,2 AVENUE,3 AVENUE,2 AVENUE,,NEW YORK,EAST   28 STREET,,Closed,,,,06 MANHATTAN,,MANHATTAN,990054.0,209316.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.74119877961325,-73.97905520899762,"(40.74119877961325, -73.97905520899762)"
36,45283069,2020-01-01 00:10:35,2020-01-01 06:50:19,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11229.0,1815 EAST   17 STREET,EAST   17 STREET,AVENUE R,MOORE PLACE,AVENUE R,MOORE PLACE,,BROOKLYN,EAST   17 STREET,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,01/01/2020 06:50:22 AM,15 BROOKLYN,3068210275.0,BROOKLYN,996536.0,159911.0,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.605586570194475,-73.95575378891145,"(40.605586570194475, -73.95575378891145)"
37,45281799,2020-01-01 00:10:56,2020-01-03 03:28:49,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,10466.0,4327 WILDER AVENUE,WILDER AVENUE,PITMAN AVENUE,NEREID AVENUE,PITMAN AVENUE,NEREID AVENUE,,BRONX,WILDER AVENUE,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,01/03/2020 03:28:50 AM,12 BRONX,2050580067.0,BRONX,1027458.0,266456.0,PHONE,Unspecified,BRONX,,,,,,,,40.89792803897644,-73.8437083217415,"(40.89792803897644, -73.8437083217415)"
38,45281803,2020-01-01 00:11:00,2020-01-01 01:56:52,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,,11209.0,8424 3 AVENUE,3 AVENUE,84 STREET,85 STREET,84 STREET,85 STREET,,BROOKLYN,3 AVENUE,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,01/01/2020 01:56:57 AM,10 BROOKLYN,3060240047.0,BROOKLYN,975776.0,166907.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.62479360728003,-74.03052663868758,"(40.62479360728003, -74.03052663868758)"
39,45280656,2020-01-01 00:11:00,2020-01-01 07:07:10,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11237.0,330 HARMAN STREET,HARMAN STREET,KNICKERBOCKER AVENUE,IRVING AVENUE,KNICKERBOCKER AVENUE,IRVING AVENUE,,BROOKLYN,HARMAN STREET,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,01/01/2020 07:07:16 AM,04 BROOKLYN,3032890023.0,BROOKLYN,1006903.0,194488.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.70047240665239,-73.91830245183303,"(40.70047240665239, -73.91830245183303)"
40,45280814,2020-01-01 00:11:14,2020-01-01 01:21:17,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10034.0,4901 BROADWAY,BROADWAY,WEST  204 STREET,WEST  207 STREET,WEST  204 STREET,WEST  207 STREET,,NEW YORK,BROADWAY,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,01/01/2020 01:21:19 AM,12 MANHATTAN,1022410035.0,MANHATTAN,1005726.0,255266.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.867294651508615,-73.92235297819512,"(40.86729465150862, -73.92235297819512)"
41,45283276,2020-01-01 00:11:21,2020-01-01 15:02:37,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11220.0,683 51 STREET,51 STREET,6 AVENUE,7 AVENUE,6 AVENUE,7 AVENUE,,BROOKLYN,51 STREET,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,01/01/2020 03:02:40 PM,07 BROOKLYN,3007930038.0,BROOKLYN,982287.0,173263.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.64224331435751,-74.00707333743664,"(40.64224331435751, -74.00707333743664)"
